LogID,CredentialID,EmployeeName,Date,Time,Timestamp,PunchType,DeviceID,VerificationMethod,WorkCode,Status
1028,10011,"SANTOS, MARIA C.",2025-06-02,12:13:03,2025-06-02 12:13:03,OUT,DEV-001,Fingerprint,,Valid
1029,10055,"TORRES, LIZA M.",2025-06-02,12:13:26,2025-06-02 12:13:26,OUT,DEV-002,RFID,,Valid
1030,10022,"REYES, JOSE R.",2025-06-02,12:15:50,2025-06-02 12:15:50,OUT,DEV-002,Face,,Valid
1031,10111,"CRUZ, PATRICIA J.",2025-06-02,12:48:57,2025-06-02 12:48:57,IN,DEV-001,Fingerprint,DAY,Valid
1032,12345,"RELATIVO, XAVIER D.",2025-06-02,12:51:45,2025-06-02 12:51:45,IN,DEV-002,Fingerprint,DAY,Valid
1033,10144,"NAVARRO, EDGAR A.",2025-06-02,12:52:26,2025-06-02 12:52:26,IN,DEV-001,Fingerprint,DAY,Valid
1034,10022,"REYES, JOSE R.",2025-06-02,12:54:32,2025-06-02 12:54:32,IN,DEV-002,Face,DAY,Valid
1035,10133,"RAMOS, JESSA Q.",2025-06-02,12:56:42,2025-06-02 12:56:42,IN,DEV-003,Fingerprint,DAY,Valid
1036,10011,"SANTOS, MARIA C.",2025-06-02,12:57:16,2025-06-02 12:57:16,IN,DEV-003,Face,DAY,Valid
1037,10077,"CASTILLO, NINA F.",2025-06-02,13:00:44,2025-06-02 13:00:44,IN,DEV-002,Face,DAY,Valid
1038,10088,"FLORES, RODEL G.",2025-06-02,13:02:40,2025-06-02 13:02:40,IN,DEV-001,Face,DAY,Valid
1039,10044,"MENDOZA, CARLO B.",2025-06-02,13:03:37,2025-06-02 13:03:37,IN,DEV-003,Fingerprint,DAY,Valid
1040,10055,"TORRES, LIZA M.",2025-06-02,13:04:26,2025-06-02 13:04:26,IN,DEV-003,Fingerprint,DAY,Valid
1041,10122,"DOMINGO, ALLEN S.",2025-06-02,13:06:51,2025-06-02 13:06:51,IN,DEV-001,PIN,DAY,Valid
1042,10033,"GARCIA, ANNA L.",2025-06-02,13:07:31,2025-06-02 13:07:31,IN,DEV-001,Fingerprint,DAY,Valid
1043,10066,"VILLANUEVA, MARK T.",2025-06-02,13:07:40,2025-06-02 13:07:40,IN,DEV-001,Fingerprint,DAY,Valid
1044,10100,"AQUINO, DANILO P.",2025-06-02,13:11:14,2025-06-02 13:11:14,IN,DEV-001,Fingerprint,DAY,Valid
1045,10099,"BAUTISTA, CLAIRE V.",2025-06-02,13:14:59,2025-06-02 13:14:59,IN,DEV-002,Fingerprint,DAY,Valid
1046,10144,"NAVARRO, EDGAR A.",2025-06-02,15:48:45,2025-06-02 15:48:45,OUT,DEV-001,Fingerprint,,Valid
1047,12345,"RELATIVO, XAVIER D.",2025-06-02,15:58:28,2025-06-02 15:58:28,OUT,DEV-001,RFID,,Valid
1048,10077,"CASTILLO, NINA F.",2025-06-02,16:30:28,2025-06-02 16:30:28,OUT,DEV-002,RFID,,Valid
1049,10066,"VILLANUEVA, MARK T.",2025-06-02,17:02:20,2025-06-02 17:02:20,OUT,DEV-001,RFID,,Valid
1050,10022,"REYES, JOSE R.",2025-06-02,17:11:52,2025-06-02 17:11:52,OUT,DEV-003,Fingerprint,,Valid
1051,10099,"BAUTISTA, CLAIRE V.",2025-06-02,17:15:36,2025-06-02 17:15:36,OUT,DEV-002,Fingerprint,,Valid
1052,10088,"FLORES, RODEL G.",2025-06-02,17:16:27,2025-06-02 17:16:27,OUT,DEV-001,RFID,,Valid
1053,10044,"MENDOZA, CARLO B.",2025-06-02,17:19:28,2025-06-02 17:19:28,OUT,DEV-001,Fingerprint,,Valid
1054,10111,"CRUZ, PATRICIA J.",2025-06-02,17:27:57,2025-06-02 17:27:57,OUT,DEV-003,RFID,,Valid
1055,10122,"DOMINGO, ALLEN S.",2025-06-02,17:31:33,2025-06-02 17:31:33,OUT,DEV-001,Fingerprint,,Valid
1056,10100,"AQUINO, DANILO P.",2025-06-02,17:35:12,2025-06-02 17:35:12,OUT,DEV-003,Face,,Valid
1057,10011,"SANTOS, MARIA C.",2025-06-02,17:36:27,2025-06-02 17:36:27,OUT,DEV-002,Face,,Valid
1058,10033,"GARCIA, ANNA L.",2025-06-02,17:37:14,2025-06-02 17:37:14,OUT,DEV-001,Fingerprint,,Valid
1059,10133,"RAMOS, JESSA Q.",2025-06-02,17:50:40,2025-06-02 17:50:40,OUT,DEV-001,Face,,Valid
1060,10055,"TORRES, LIZA M.",2025-06-02,18:28:23,2025-06-02 18:28:23,OUT,DEV-001,Fingerprint,,Valid
1061,10011,"SANTOS, MARIA C.",2025-06-02,21:22:42,2025-06-02 21:22:42,OUT,DEV-002,Fingerprint,OT,Valid
1062,10122,"DOMINGO, ALLEN S.",2025-06-03,07:46:47,2025-06-03 07:46:47,IN,DEV-001,Face,DAY,Valid
1063,10066,"VILLANUEVA, MARK T.",2025-06-03,07:50:25,2025-06-03 07:50:25,IN,DEV-002,RFID,DAY,Valid
1064,10044,"MENDOZA, CARLO B.",2025-06-03,07:59:54,2025-06-03 07:59:54,IN,DEV-001,Face,DAY,Valid
1065,10055,"TORRES, LIZA M.",2025-06-03,08:02:12,2025-06-03 08:02:12,IN,DEV-003,PIN,DAY,Valid
1066,10111,"CRUZ, PATRICIA J.",2025-06-03,08:05:01,2025-06-03 08:05:01,IN,DEV-001,PIN,DAY,Valid
1067,10099,"BAUTISTA, CLAIRE V.",2025-06-03,08:07:59,2025-06-03 08:07:59,IN,DEV-001,Fingerprint,DAY,Valid
1068,10033,"GARCIA, ANNA L.",2025-06-03,08:14:17,2025-06-03 08:14:17,IN,DEV-001,Fingerprint,DAY,Valid
1069,10022,"REYES, JOSE R.",2025-06-03,08:14:26,2025-06-03 08:14:26,IN,DEV-001,RFID,DAY,Valid
1070,10144,"NAVARRO, EDGAR A.",2025-06-03,08:17:08,2025-06-03 08:17:08,IN,DEV-001,Face,DAY,Valid
1071,10011,"SANTOS, MARIA C.",2025-06-03,08:17:58,2025-06-03 08:17:58,IN,DEV-001,RFID,DAY,Valid
1072,10088,"FLORES, RODEL G.",2025-06-03,08:18:57,2025-06-03 08:18:57,IN,DEV-001,Fingerprint,DAY,Valid
1073,10133,"RAMOS, JESSA Q.",2025-06-03,08:28:28,2025-06-03 08:28:28,IN,DEV-002,Fingerprint,DAY,Valid
1074,12345,"RELATIVO, XAVIER D.",2025-06-03,08:42:24,2025-06-03 08:42:24,IN,DEV-002,Fingerprint,DAY,Valid
1075,10100,"AQUINO, DANILO P.",2025-06-03,08:43:38,2025-06-03 08:43:38,IN,DEV-001,PIN,DAY,Unverified
1076,10077,"CASTILLO, NINA F.",2025-06-03,09:01:19,2025-06-03 09:01:19,IN,DEV-001,Fingerprint,DAY,Valid
1077,10088,"FLORES, RODEL G.",2025-06-03,11:51:40,2025-06-03 11:51:40,OUT,DEV-003,Fingerprint,,Valid
1078,10066,"VILLANUEVA, MARK T.",2025-06-03,11:52:21,2025-06-03 11:52:21,OUT,DEV-002,Fingerprint,,Valid
1079,10099,"BAUTISTA, CLAIRE V.",2025-06-03,12:00:13,2025-06-03 12:00:13,OUT,DEV-001,Fingerprint,,Valid
1080,10122,"DOMINGO, ALLEN S.",2025-06-03,12:03:27,2025-06-03 12:03:27,OUT,DEV-001,Face,,Valid
1081,10144,"NAVARRO, EDGAR A.",2025-06-03,12:03:36,2025-06-03 12:03:36,OUT,DEV-001,Face,,Valid
1082,12345,"RELATIVO, XAVIER D.",2025-06-03,12:04:16,2025-06-03 12:04:16,OUT,DEV-002,Face,,Valid
1083,10100,"AQUINO, DANILO P.",2025-06-03,12:04:43,2025-06-03 12:04:43,OUT,DEV-002,Fingerprint,,Valid
1084,10077,"CASTILLO, NINA F.",2025-06-03,12:05:50,2025-06-03 12:05:50,OUT,DEV-002,Fingerprint,,Valid
1085,10022,"REYES, JOSE R.",2025-06-03,12:07:44,2025-06-03 12:07:44,OUT,DEV-001,Fingerprint,,Valid
1086,10033,"GARCIA, ANNA L.",2025-06-03,12:08:12,2025-06-03 12:08:12,OUT,DEV-001,Face,,Valid
1087,10044,"MENDOZA, CARLO B.",2025-06-03,12:08:30,2025-06-03 12:08:30,OUT,DEV-002,RFID,,Valid
1088,10111,"CRUZ, PATRICIA J.",2025-06-03,12:09:52,2025-06-03 12:09:52,OUT,DEV-002,Fingerprint,,Valid
1089,10133,"RAMOS, JESSA Q.",2025-06-03,12:11:07,2025-06-03 12:11:07,OUT,DEV-003,Fingerprint,,Valid
1090,10055,"TORRES, LIZA M.",2025-06-03,12:11:29,2025-06-03 12:11:29,OUT,DEV-001,Fingerprint,,Valid
1091,10011,"SANTOS, MARIA C.",2025-06-03,12:15:32,2025-06-03 12:15:32,OUT,DEV-001,Fingerprint,,Valid
1092,10111,"CRUZ, PATRICIA J.",2025-06-03,12:47:19,2025-06-03 12:47:19,IN,DEV-001,Fingerprint,DAY,Valid
1093,10144,"NAVARRO, EDGAR A.",2025-06-03,12:49:15,2025-06-03 12:49:15,IN,DEV-001,RFID,DAY,Valid
1094,10133,"RAMOS, JESSA Q.",2025-06-03,12:49:30,2025-06-03 12:49:30,IN,DEV-001,Fingerprint,DAY,Valid
1095,10022,"REYES, JOSE R.",2025-06-03,12:49:41,2025-06-03 12:49:41,IN,DEV-002,RFID,DAY,Valid
1096,10122,"DOMINGO, ALLEN S.",2025-06-03,12:51:17,2025-06-03 12:51:17,IN,DEV-002,RFID,DAY,Valid
1097,10044,"MENDOZA, CARLO B.",2025-06-03,12:57:42,2025-06-03 12:57:42,IN,DEV-002,Face,DAY,Valid
1098,12345,"RELATIVO, XAVIER D.",2025-06-03,13:02:07,2025-06-03 13:02:07,IN,DEV-003,Fingerprint,DAY,Valid
1099,10011,"SANTOS, MARIA C.",2025-06-03,13:04:04,2025-06-03 13:04:04,IN,DEV-002,Fingerprint,DAY,Valid
1100,10066,"VILLANUEVA, MARK T.",2025-06-03,13:05:07,2025-06-03 13:05:07,IN,DEV-001,Fingerprint,DAY,Valid
1101,10088,"FLORES, RODEL G.",2025-06-03,13:05:19,2025-06-03 13:05:19,IN,DEV-002,Fingerprint,DAY,Valid
1102,10055,"TORRES, LIZA M.",2025-06-03,13:05:38,2025-06-03 13:05:38,IN,DEV-003,Fingerprint,DAY,Valid
1103,10100,"AQUINO, DANILO P.",2025-06-03,13:08:02,2025-06-03 13:08:02,IN,DEV-001,Fingerprint,DAY,Valid
1104,10077,"CASTILLO, NINA F.",2025-06-03,13:11:57,2025-06-03 13:11:57,IN,DEV-001,Fingerprint,DAY,Valid
1105,10099,"BAUTISTA, CLAIRE V.",2025-06-03,13:14:35,2025-06-03 13:14:35,IN,DEV-002,Fingerprint,DAY,Valid
1106,10033,"GARCIA, ANNA L.",2025-06-03,13:15:48,2025-06-03 13:15:48,IN,DEV-002,Fingerprint,DAY,Valid
1107,10111,"CRUZ, PATRICIA J.",2025-06-03,16:19:43,2025-06-03 16:19:43,OUT,DEV-003,Fingerprint,,Valid
1108,10122,"DOMINGO, ALLEN S.",2025-06-03,17:08:36,2025-06-03 17:08:36,OUT,DEV-001,RFID,,Valid
1109,10133,"RAMOS, JESSA Q.",2025-06-03,17:13:06,2025-06-03 17:13:06,OUT,DEV-001,RFID,,Valid
1110,10022,"REYES, JOSE R.",2025-06-03,17:13:49,2025-06-03 17:13:49,OUT,DEV-001,Fingerprint,,Valid
1111,10011,"SANTOS, MARIA C.",2025-06-03,17:15:56,2025-06-03 17:15:56,OUT,DEV-001,Face,,Valid
1112,10044,"MENDOZA, CARLO B.",2025-06-03,17:19:31,2025-06-03 17:19:31,OUT,DEV-003,Fingerprint,,Valid
1113,10100,"AQUINO, DANILO P.",2025-06-03,17:27:48,2025-06-03 17:27:48,OUT,DEV-003,Fingerprint,,Valid
1114,10055,"TORRES, LIZA M.",2025-06-03,17:42:15,2025-06-03 17:42:15,OUT,DEV-003,Face,,Valid
1115,10066,"VILLANUEVA, MARK T.",2025-06-03,17:44:22,2025-06-03 17:44:22,OUT,DEV-002,RFID,,Valid
1116,10144,"NAVARRO, EDGAR A.",2025-06-03,17:50:44,2025-06-03 17:50:44,OUT,DEV-002,Fingerprint,,Valid
1117,10033,"GARCIA, ANNA L.",2025-06-03,18:01:17,2025-06-03 18:01:17,OUT,DEV-002,PIN,,Valid
1118,12345,"RELATIVO, XAVIER D.",2025-06-03,18:10:18,2025-06-03 18:10:18,OUT,DEV-002,Face,,Valid
1119,10099,"BAUTISTA, CLAIRE V.",2025-06-03,18:18:47,2025-06-03 18:18:47,OUT,DEV-001,Fingerprint,,Valid
1120,10077,"CASTILLO, NINA F.",2025-06-03,18:20:32,2025-06-03 18:20:32,OUT,DEV-001,Face,,Valid
1121,10088,"FLORES, RODEL G.",2025-06-03,18:22:10,2025-06-03 18:22:10,OUT,DEV-001,Face,,Valid
1122,10133,"RAMOS, JESSA Q.",2025-06-03,19:35:24,2025-06-03 19:35:24,OUT,DEV-002,Face,OT,Valid
1123,10022,"REYES, JOSE R.",2025-06-03,21:12:29,2025-06-03 21:12:29,OUT,DEV-001,Fingerprint,OT,Valid
1124,10133,"RAMOS, JESSA Q.",2025-06-04,07:00:19,2025-06-04 07:00:19,IN,DEV-003,Face,DAY,Duplicate
1125,10088,"FLORES, RODEL G.",2025-06-04,07:50:02,2025-06-04 07:50:02,IN,DEV-002,RFID,DAY,Valid
1126,10099,"BAUTISTA, CLAIRE V.",2025-06-04,07:53:00,2025-06-04 07:53:00,IN,DEV-003,PIN,DAY,Valid
1127,10044,"MENDOZA, CARLO B.",2025-06-04,07:54:26,2025-06-04 07:54:26,IN,DEV-003,RFID,DAY,Valid
1128,10066,"VILLANUEVA, MARK T.",2025-06-04,07:56:49,2025-06-04 07:56:49,IN,DEV-001,Face,DAY,Valid
1129,10133,"RAMOS, JESSA Q.",2025-06-04,07:58:40,2025-06-04 07:58:40,IN,DEV-003,Face,DAY,Valid
1130,12345,"RELATIVO, XAVIER D.",2025-06-04,07:59:55,2025-06-04 07:59:55,IN,DEV-001,Fingerprint,DAY,Valid
1131,10100,"AQUINO, DANILO P.",2025-06-04,08:05:15,2025-06-04 08:05:15,IN,DEV-001,Fingerprint,DAY,Valid
1132,10077,"CASTILLO, NINA F.",2025-06-04,08:08:04,2025-06-04 08:08:04,IN,DEV-001,PIN,DAY,Valid
1133,10111,"CRUZ, PATRICIA J.",2025-06-04,08:12:14,2025-06-04 08:12:14,IN,DEV-001,RFID,DAY,Valid
1134,10144,"NAVARRO, EDGAR A.",2025-06-04,08:13:29,2025-06-04 08:13:29,IN,DEV-001,Fingerprint,DAY,Valid
1135,10022,"REYES, JOSE R.",2025-06-04,08:13:39,2025-06-04 08:13:39,IN,DEV-003,RFID,DAY,Valid
1136,10033,"GARCIA, ANNA L.",2025-06-04,08:19:08,2025-06-04 08:19:08,IN,DEV-003,Fingerprint,DAY,Valid
1137,10055,"TORRES, LIZA M.",2025-06-04,08:23:00,2025-06-04 08:23:00,IN,DEV-003,Fingerprint,DAY,Valid
1138,10122,"DOMINGO, ALLEN S.",2025-06-04,08:23:24,2025-06-04 08:23:24,IN,DEV-001,Face,DAY,Valid
1139,10011,"SANTOS, MARIA C.",2025-06-04,09:11:15,2025-06-04 09:11:15,IN,DEV-001,Fingerprint,DAY,Valid
1140,10044,"MENDOZA, CARLO B.",2025-06-04,11:47:30,2025-06-04 11:47:30,OUT,DEV-002,Fingerprint,,Valid
1141,10055,"TORRES, LIZA M.",2025-06-04,11:49:34,2025-06-04 11:49:34,OUT,DEV-001,Fingerprint,,Valid
1142,10099,"BAUTISTA, CLAIRE V.",2025-06-04,11:50:26,2025-06-04 11:50:26,OUT,DEV-002,RFID,,Valid
1143,10088,"FLORES, RODEL G.",2025-06-04,11:53:41,2025-06-04 11:53:41,OUT,DEV-001,Face,,Valid
1144,10122,"DOMINGO, ALLEN S.",2025-06-04,11:56:22,2025-06-04 11:56:22,OUT,DEV-002,Face,,Valid
1145,10144,"NAVARRO, EDGAR A.",2025-06-04,11:56:49,2025-06-04 11:56:49,OUT,DEV-001,Fingerprint,,Valid
1146,10022,"REYES, JOSE R.",2025-06-04,11:58:53,2025-06-04 11:58:53,OUT,DEV-003,Fingerprint,,Valid
1147,10033,"GARCIA, ANNA L.",2025-06-04,12:02:18,2025-06-04 12:02:18,OUT,DEV-002,Fingerprint,,Valid
1148,10066,"VILLANUEVA, MARK T.",2025-06-04,12:03:48,2025-06-04 12:03:48,OUT,DEV-001,Face,,Valid
1149,10011,"SANTOS, MARIA C.",2025-06-04,12:05:19,2025-06-04 12:05:19,OUT,DEV-001,RFID,,Valid
1150,12345,"RELATIVO, XAVIER D.",2025-06-04,12:05:53,2025-06-04 12:05:53,OUT,DEV-001,Fingerprint,,Valid
1151,10133,"RAMOS, JESSA Q.",2025-06-04,12:06:28,2025-06-04 12:06:28,OUT,DEV-003,Fingerprint,,Valid
1152,10100,"AQUINO, DANILO P.",2025-06-04,12:06:33,2025-06-04 12:06:33,OUT,DEV-001,Fingerprint,,Valid
1153,10111,"CRUZ, PATRICIA J.",2025-06-04,12:09:39,2025-06-04 12:09:39,OUT,DEV-003,Fingerprint,,Valid
1154,10077,"CASTILLO, NINA F.",2025-06-04,12:10:32,2025-06-04 12:10:32,OUT,DEV-001,Fingerprint,,Valid
1155,10100,"AQUINO, DANILO P.",2025-06-04,12:46:35,2025-06-04 12:46:35,IN,DEV-003,RFID,DAY,Valid
1156,10133,"RAMOS, JESSA Q.",2025-06-04,12:48:08,2025-06-04 12:48:08,IN,DEV-002,Face,DAY,Valid
1157,10022,"REYES, JOSE R.",2025-06-04,12:50:47,2025-06-04 12:50:47,IN,DEV-003,Fingerprint,DAY,Valid
1158,12345,"RELATIVO, XAVIER D.",2025-06-04,12:51:42,2025-06-04 12:51:42,IN,DEV-001,RFID,DAY,Valid
1159,10144,"NAVARRO, EDGAR A.",2025-06-04,12:53:54,2025-06-04 12:53:54,IN,DEV-001,Fingerprint,DAY,Valid
1160,10077,"CASTILLO, NINA F.",2025-06-04,13:00:02,2025-06-04 13:00:02,IN,DEV-002,PIN,DAY,Valid
1161,10099,"BAUTISTA, CLAIRE V.",2025-06-04,13:00:30,2025-06-04 13:00:30,IN,DEV-002,Face,DAY,Valid
1162,10088,"FLORES, RODEL G.",2025-06-04,13:04:40,2025-06-04 13:04:40,IN,DEV-001,RFID,DAY,Valid
1163,10044,"MENDOZA, CARLO B.",2025-06-04,13:04:44,2025-06-04 13:04:44,IN,DEV-001,Fingerprint,DAY,Valid
1164,10055,"TORRES, LIZA M.",2025-06-04,13:06:55,2025-06-04 13:06:55,IN,DEV-001,Fingerprint,DAY,Valid
1165,10111,"CRUZ, PATRICIA J.",2025-06-04,13:09:20,2025-06-04 13:09:20,IN,DEV-001,Fingerprint,DAY,Valid
1166,10122,"DOMINGO, ALLEN S.",2025-06-04,13:11:43,2025-06-04 13:11:43,IN,DEV-002,Fingerprint,DAY,Valid
1167,10033,"GARCIA, ANNA L.",2025-06-04,13:12:48,2025-06-04 13:12:48,IN,DEV-001,RFID,DAY,Valid
1168,10066,"VILLANUEVA, MARK T.",2025-06-04,13:13:36,2025-06-04 13:13:36,IN,DEV-002,PIN,DAY,Valid
1169,10011,"SANTOS, MARIA C.",2025-06-04,13:14:04,2025-06-04 13:14:04,IN,DEV-001,Face,DAY,Valid
1170,10077,"CASTILLO, NINA F.",2025-06-04,16:02:47,2025-06-04 16:02:47,OUT,DEV-001,Face,,Valid
1171,10100,"AQUINO, DANILO P.",2025-06-04,17:22:40,2025-06-04 17:22:40,OUT,DEV-002,Face,,Valid
1172,10055,"TORRES, LIZA M.",2025-06-04,17:30:37,2025-06-04 17:30:37,OUT,DEV-001,Fingerprint,,Valid
1173,10022,"REYES, JOSE R.",2025-06-04,17:31:53,2025-06-04 17:31:53,OUT,DEV-002,Face,,Valid
1174,10099,"BAUTISTA, CLAIRE V.",2025-06-04,17:36:20,2025-06-04 17:36:20,OUT,DEV-001,Fingerprint,,Valid
1175,10066,"VILLANUEVA, MARK T.",2025-06-04,17:41:55,2025-06-04 17:41:55,OUT,DEV-003,Fingerprint,,Valid
1176,10044,"MENDOZA, CARLO B.",2025-06-04,17:42:54,2025-06-04 17:42:54,OUT,DEV-002,Fingerprint,,Valid
1177,10133,"RAMOS, JESSA Q.",2025-06-04,17:49:22,2025-06-04 17:49:22,OUT,DEV-003,Fingerprint,,Valid
1178,10111,"CRUZ, PATRICIA J.",2025-06-04,17:57:31,2025-06-04 17:57:31,OUT,DEV-001,Face,,Valid
1179,10088,"FLORES, RODEL G.",2025-06-04,18:09:18,2025-06-04 18:09:18,OUT,DEV-002,Fingerprint,,Valid
1180,10011,"SANTOS, MARIA C.",2025-06-04,18:12:06,2025-06-04 18:12:06,OUT,DEV-001,Fingerprint,,Valid
1181,10033,"GARCIA, ANNA L.",2025-06-04,18:13:18,2025-06-04 18:13:18,OUT,DEV-001,Fingerprint,,Valid
1182,10122,"DOMINGO, ALLEN S.",2025-06-04,18:18:37,2025-06-04 18:18:37,OUT,DEV-001,Fingerprint,,Valid
1183,12345,"RELATIVO, XAVIER D.",2025-06-04,18:22:04,2025-06-04 18:22:04,OUT,DEV-002,Fingerprint,,Valid
1184,10144,"NAVARRO, EDGAR A.",2025-06-04,18:27:19,2025-06-04 18:27:19,OUT,DEV-002,Face,,Valid
1185,12345,"RELATIVO, XAVIER D.",2025-06-04,20:02:10,2025-06-04 20:02:10,OUT,DEV-001,Fingerprint,OT,Valid
1186,10111,"CRUZ, PATRICIA J.",2025-06-05,07:49:05,2025-06-05 07:49:05,IN,DEV-001,Fingerprint,DAY,Valid
1187,12345,"RELATIVO, XAVIER D.",2025-06-05,08:05:25,2025-06-05 08:05:25,IN,DEV-001,Fingerprint,DAY,Valid
1188,10099,"BAUTISTA, CLAIRE V.",2025-06-05,08:11:56,2025-06-05 08:11:56,IN,DEV-003,RFID,DAY,Valid
1189,10088,"FLORES, RODEL G.",2025-06-05,08:14:13,2025-06-05 08:14:13,IN,DEV-001,Fingerprint,DAY,Valid
1190,10066,"VILLANUEVA, MARK T.",2025-06-05,08:14:28,2025-06-05 08:14:28,IN,DEV-001,Fingerprint,DAY,Valid
1191,10022,"REYES, JOSE R.",2025-06-05,08:19:05,2025-06-05 08:19:05,IN,DEV-001,Fingerprint,DAY,Valid
1192,10077,"CASTILLO, NINA F.",2025-06-05,08:19:21,2025-06-05 08:19:21,IN,DEV-001,RFID,DAY,Valid
1193,10033,"GARCIA, ANNA L.",2025-06-05,08:25:43,2025-06-05 08:25:43,IN,DEV-001,Fingerprint,DAY,Valid
1194,10044,"MENDOZA, CARLO B.",2025-06-05,08:28:58,2025-06-05 08:28:58,IN,DEV-001,Fingerprint,DAY,Valid
1195,10133,"RAMOS, JESSA Q.",2025-06-05,08:29:01,2025-06-05 08:29:01,IN,DEV-002,RFID,DAY,Valid
1196,10011,"SANTOS, MARIA C.",2025-06-05,08:30:19,2025-06-05 08:30:19,IN,DEV-003,Face,DAY,Valid
1197,10055,"TORRES, LIZA M.",2025-06-05,08:44:28,2025-06-05 08:44:28,IN,DEV-003,Fingerprint,DAY,Valid
1198,10144,"NAVARRO, EDGAR A.",2025-06-05,09:09:16,2025-06-05 09:09:16,IN,DEV-001,RFID,DAY,Valid
1199,10100,"AQUINO, DANILO P.",2025-06-05,09:09:24,2025-06-05 09:09:24,IN,DEV-001,Fingerprint,DAY,Valid
1200,10122,"DOMINGO, ALLEN S.",2025-06-05,09:20:27,2025-06-05 09:20:27,IN,DEV-002,Fingerprint,DAY,Valid
1201,10055,"TORRES, LIZA M.",2025-06-05,11:46:46,2025-06-05 11:46:46,OUT,DEV-002,RFID,,Valid
1202,10099,"BAUTISTA, CLAIRE V.",2025-06-05,11:46:53,2025-06-05 11:46:53,OUT,DEV-001,Fingerprint,,Valid
1203,10044,"MENDOZA, CARLO B.",2025-06-05,11:47:27,2025-06-05 11:47:27,OUT,DEV-003,Face,,Valid
